Type,Onset,Duration,DurationCorrected
Opto1,129017.750,224.500,204.500
TTLin1,129496.250,183.250,183.250
Opto1,129517.750,224.250,204.250
TTLin1,129996.000,183.250,183.250
Opto1,130017.500,224.250,204.250
TTLin1,130495.750,183.250,183.250
Opto1,130517.250,224.000,204.000
TTLin1,130995.250,183.250,183.250
Opto1,131016.750,224.500,204.500
TTLin1,131495.000,183.250,183.250
Opto1,131516.500,224.250,204.250
TTLin1,131994.750,183.250,183.250
Opto1,132016.000,224.750,204.750
TTLin1,132494.500,183.250,183.250
Opto1,132516.000,224.250,204.250
TTLin1,132994.250,183.250,183.250
Opto1,133015.500,224.500,204.500
TTLin1,133494.000,183.250,183.250
Opto1,133515.250,224.500,204.500
TTLin1,133993.500,183.250,183.250
Opto1,134015.000,224.500,204.500
TTLin1,134493.250,183.250,183.250
Opto1,134514.750,224.500,204.500
TTLin1,134993.000,183.250,183.250
Opto1,135014.500,224.250,204.250
TTLin1,135492.750,183.250,183.250
Opto1,135514.250,224.500,204.500
TTLin1,135992.500,183.000,183.000
Opto1,136014.000,224.250,204.250
TTLin1,136492.000,183.250,183.250
Opto1,136513.500,224.500,204.500
TTLin1,136991.750,183.250,183.250
Opto1,137013.250,224.500,204.500
TTLin1,137491.500,183.250,183.250
Opto1,137513.000,224.250,204.250
TTLin1,137991.250,183.250,183.250
Opto1,138012.500,224.750,204.750
TTLin1,138491.000,183.250,183.250
Opto1,138512.250,224.750,204.750
TTLin1,138990.750,183.250,183.250
Opto1,139012.250,224.500,204.500
TTLin1,139490.500,183.250,183.250
Opto1,139511.750,224.500,204.500
TTLin1,139990.250,183.000,183.000
Opto1,140011.500,224.500,204.500
TTLin1,140489.750,183.250,183.250
Opto1,140511.250,224.500,204.500
TTLin1,140989.500,183.250,183.250
Opto1,141011.000,224.250,204.250
TTLin1,141489.250,183.250,183.250
Opto1,141510.500,224.500,204.500
TTLin1,141989.000,183.250,183.250
Opto1,142010.500,224.250,204.250
TTLin1,142488.750,183.250,183.250
Opto1,142510.250,224.250,204.250
TTLin1,142988.500,183.250,183.250
Opto1,143009.750,224.250,204.250
TTLin1,143488.250,183.000,183.000
Opto1,143509.500,224.500,204.500
TTLin1,143987.750,183.250,183.250
Opto1,144009.250,224.250,204.250
TTLin1,144487.500,183.250,183.250
Opto1,144509.000,224.500,204.500
TTLin1,144987.250,183.250,183.250
Opto1,145008.750,224.250,204.250
TTLin1,145487.000,183.250,183.250
Opto1,145508.500,224.250,204.250
TTLin1,145986.750,183.250,183.250
Opto1,146008.000,224.500,204.500
TTLin1,146486.250,183.250,183.250
Opto1,146507.750,224.250,204.250
TTLin1,146986.000,183.500,183.500
Opto1,147007.750,224.250,204.250
TTLin1,147486.000,183.250,183.250
