Type,Onset,Duration,DurationCorrected
TTLin1,83867.750,5.250,5.250
Opto1,83891.000,224.750,204.750
TTLin1,84367.500,5.250,5.250
Opto1,84390.750,225.000,205.000
TTLin1,84867.250,5.250,5.250
Opto1,84890.500,225.000,205.000
TTLin1,85366.750,5.250,5.250
Opto1,85390.000,225.000,205.000
TTLin1,85866.500,5.250,5.250
Opto1,85890.000,224.750,204.750
TTLin1,86366.500,5.000,5.000
Opto1,86389.500,225.000,205.000
TTLin1,86866.250,5.250,5.250
Opto1,86889.250,224.750,204.750
TTLin1,87366.000,5.250,5.250
Opto1,87389.000,224.750,204.750
TTLin1,87865.750,5.000,5.000
Opto1,87888.750,224.750,204.750
TTLin1,88365.250,5.000,5.000
Opto1,88388.500,224.750,204.750
TTLin1,88865.000,5.000,5.000
Opto1,88888.000,225.000,205.000
TTLin1,89364.750,5.000,5.000
Opto1,89387.750,225.000,205.000
TTLin1,89864.500,5.250,5.250
Opto1,89887.500,225.000,205.000
TTLin1,90364.250,5.000,5.000
Opto1,90387.250,241.500,221.500
TTLin1,90878.750,5.250,5.250
Opto1,90903.500,225.000,205.000
TTLin1,91379.000,5.000,5.000
Opto1,91403.250,225.000,205.000
TTLin1,91878.750,5.000,5.000
Opto1,91903.000,241.500,221.500
TTLin1,92391.500,5.250,5.250
Opto1,92419.250,225.000,205.000
TTLin1,92891.500,5.000,5.000
Opto1,92919.250,224.750,204.750
TTLin1,93392.750,5.000,5.000
Opto1,93418.750,224.750,204.750
TTLin1,93892.750,5.250,5.250
Opto1,93918.500,225.000,205.000
TTLin1,94392.750,5.250,5.250
Opto1,94418.250,225.000,205.000
TTLin1,94892.500,5.250,5.250
Opto1,94918.000,224.750,204.750
TTLin1,95393.000,5.250,5.250
Opto1,95417.500,225.000,205.000
TTLin1,95892.500,5.250,5.250
Opto1,95917.250,225.000,205.000
TTLin1,96392.250,5.250,5.250
Opto1,96417.250,224.750,204.750
TTLin1,96892.000,5.250,5.250
Opto1,96917.000,224.750,204.750
TTLin1,97391.750,5.250,5.250
Opto1,97416.750,224.500,204.500
TTLin1,97891.500,5.250,5.250
Opto1,97916.250,224.750,204.750
TTLin1,98391.500,5.250,5.250
Opto1,98416.000,224.750,204.750
TTLin1,98891.250,5.250,5.250
Opto1,98915.500,225.000,205.000
TTLin1,99391.000,5.250,5.250
Opto1,99415.250,225.000,205.000
TTLin1,99890.750,5.250,5.250
Opto1,99915.250,224.750,204.750
TTLin1,100393.000,5.250,5.250
Opto1,100414.750,225.000,205.000
TTLin1,100892.750,5.000,5.000
Opto1,100914.500,224.750,204.750
TTLin1,101392.250,5.250,5.250
Opto1,101414.250,241.500,221.500
TTLin1,101905.500,5.250,5.250
Opto1,101930.500,224.750,204.750
TTLin1,102405.500,5.000,5.000
Opto1,102430.250,224.750,204.750
TTLin1,102905.500,5.250,5.250
Opto1,102930.000,224.750,204.750
TTLin1,103405.250,5.250,5.250
Opto1,103429.750,224.750,204.750
TTLin1,103905.000,5.000,5.000
Opto1,103929.250,225.000,205.000
TTLin1,104405.250,5.250,5.250
Opto1,104429.000,225.000,205.000
TTLin1,104905.000,5.250,5.250
Opto1,104929.000,224.750,204.750
TTLin1,105404.750,5.000,5.000
Opto1,105428.750,224.500,204.500
TTLin1,105904.250,5.250,5.250
Opto1,105928.500,224.500,204.500
TTLin1,106404.000,5.250,5.250
Opto1,106428.000,224.750,204.750
TTLin1,106903.750,5.250,5.250
Opto1,106927.750,225.000,205.000
TTLin1,107403.500,5.250,5.250
Opto1,107427.250,225.000,205.000
TTLin1,107903.250,5.250,5.250
Opto1,107927.000,225.000,205.000
TTLin1,108403.000,5.000,5.000
Opto1,108426.750,225.000,205.000
TTLin1,108902.750,5.250,5.250
Opto1,108926.500,225.000,205.000
